side,column,api,api_path,export_filled_2asin,note
export,カテゴリ: ルート,yes,categoryTree[0],2/2,
export,カテゴリ: サブ,yes,categoryTree 末尾,2/2,
export,カテゴリ: ツリー,yes,categoryTree 結合,2/2,
export,ASIN,yes,asin,2/2,
export,商品コード: EAN,yes,ean / eanList,2/2,前回フラット化漏れ。フィールドはある
export,製造者,yes,manufacturer,2/2,
export,ブランド,yes,brand,2/2,
export,単位の詳細: 単位の価値,yes,unitCount 等,2/2,ASINによる
export,アイテム数,yes,numberOfItems,1/2,
export,発売日,yes,releaseDate,0/2,Keepa分
export,パッケージ: 長さ (cm),yes,packageLength /10,2/2,APIはmm
export,パッケージ: 幅 (cm),yes,packageWidth /10,2/2,
export,パッケージ: 高さ (cm),yes,packageHeight /10,2/2,
export,パッケージ: 重さ (g),yes,packageWeight,2/2,
export,パッケージ: 数量,yes,packageQuantity,1/2,
export,商品: 長さ (cm),yes,itemLength /10,1/2,
export,商品: 幅 (cm),yes,itemWidth /10,1/2,
export,商品: 高さ (cm),yes,itemHeight /10,1/2,
export,商品: 重さ (g),yes,itemWeight,2/2,
export,Buy Box: 定期おトク便,hard,sns / csv SNS系,2/2,コード.jsもAPI要確認
export,ワンタイムクーポン: 定期おトク便 %,hard,coupon,1/2,クーポンオブジェクト。常時あるわけではない
export,ビジネス割引: パーセンテージ,hard,businessDiscount,0/2,無いことが多い
export,Buy Box: % Amazon 30 日,yes,stats.buyBoxUsed/amazon 系 or csv,2/2,statsに比率あり
export,Buy Box: % Amazon 90 日,yes,stats,2/2,
export,Buy Box: % Amazon 180 日,yes,stats,2/2,stats期間を長く
export,Buy Box: % Amazon 365 日,yes,stats,2/2,
export,Buy Box: % トップセラー 30 日,yes,stats,2/2,
export,Buy Box: % トップセラー 90 日,yes,stats,2/2,
export,Buy Box: % トップセラー 180 日,yes,stats,2/2,
export,Buy Box: % トップセラー 365 日,yes,stats,2/2,
export,Buy Box: 勝者数 30 日,yes,stats,2/2,
export,Buy Box: 勝者数 90 日,yes,stats,2/2,
export,Buy Box: 勝者数 180 日,yes,stats,2/2,
export,Buy Box: 勝者数 365 日,yes,stats,2/2,
export,Buy Box: 標準偏差 30 日,yes,stats,0/2,
export,Buy Box: 標準偏差 90 日,yes,stats,2/2,
export,Buy Box: 標準偏差 365 日,yes,stats,2/2,
export,Buy Box: 変動性 30 日,yes,stats,2/2,flipability
export,Buy Box: 変動性 90 日,yes,stats,2/2,
export,Buy Box: 変動性 365 日,yes,stats,2/2,
api_only,availabilityAmazon,yes,availabilityAmazon,,本体が今いるか。-1=なし。門の本体いま
api_only,csv[*] 全履歴,yes,csv[*] 全履歴,,6ヶ月本体不在はここから。エクスポートの「カウント」より生データ
api_only,offers[],yes,offers[],,いまの出品者・BuyBox・FBA。offers=20 でトークン増
api_only,parentAsin / variations / variationCSV,yes,parentAsin / variations / variationCSV,,バリエーション。エクスポートに無い
api_only,salesRankReference / salesRanks,yes,salesRankReference / salesRanks,,カテゴリ別順位
api_only,fbaFees,yes,fbaFees,,FBA手数料目安
api_only,listedSince / lastUpdate / trackingSince,yes,listedSince / lastUpdate / trackingSince,,追跡開始・更新
api_only,eanList / upcList,yes,eanList / upcList,,JAN複数
api_only,partNumber,yes,partNumber,,品番。出品②で使用
api_only,parentTitle 等,yes,parentTitle 等,,親ASIN情報
